Prativa Social Welfare Society,"11, E- Block, East Baghajatin",Kolkata,prativa.sksamity@gmail.com,NOT AVAILABLE,81008 94025,,"Awareness Generation, Social Awareness, Women Development/Welfare, Women’S Issues, Yoga."
Prapti Welfare Society,"119, Musalman Para Road, Near Bose Pukur College, Sonarpur",South 24 Parganas,praptirehab@gmail.com,NOT AVAILABLE,90075 76648,033-65550323,"Anti Drug Campaign, Rehabilitation, Social Awareness"
PRAYAS,"G.T.Road, Opp. Kalimata Cold Storage",Memari,"dhppal@yahoo.co.uk, dhrubapal@rediffmail.com",,91-94343 11900,NOT AVAILABLE,"For fund raising, any service for the people for education, health etc."
Niswarth,"Bagrakote, Tea Estate",Jalpaiguri,info@niswarth.com,,91-97331 01050,NOT AVAILABLE,"Niswarth is at present providing training, employment and financial support to a number of physical."
Nirmala Samaj Kalyan Sangstha,"Gokulnagar, Dadpur",Paschim Medinipur,nsks.india@gmail.com,NOT AVAILABLE,93127 35826,,"Advocacy On Social Issues, Agriculture, Art And Culture, Ayurveda, Child Labour, Child Welfare, Cultural Issues, Development (General), Food And Nutrition, Forestry, Health, Herbal Medicine, Hiv/Aids, Human Development, Human Rights, Labour, Library, Old Aged Welfare, Sanitation, Science And Technology, Self Help Groups, Training, Urban Development, Volunteers, Women Development/Welfare, Yoga, Youth."
PRERAK – Support for Cancer Fighters,"10 Bakery Road, Hastings",Kolkata,vajpeyi@vsnl.com,"91-33-22822560, 91-33-24481954",,NOT AVAILABLE,Health
PRAYASAM,"CG-65 Sector 2, Salt Lake City",Kolkata,prayasam1996@yahoo.com,91-33-23343921,,NOT AVAILABLE,Child rights
Primary Children Corps,"4/139, Jatindas Nagar, Belgharia",Kolkata,,,,NOT AVAILABLE,"Child welfare, Education"
Progati Foundation,"17/2A, Burdwan Road",Kolkata,dib_ghs@rediffmail.com,,91-92306 36270,NOT AVAILABLE,Working for humanity.
Pratibandhi Kalyan Kendra,"Abinash Mukherjee Road,",Hooghly,pkk@vsnl.com,91-33-26312834,,NOT AVAILABLE,Working with persons marginalised because of disability.
Proyaas Education Centre,"Jalkal, Mahestala",South 24 Parganas,mamitsgupta@gmail.com,,91-98304 04694,NOT AVAILABLE,
Protibadi Nagorik,North 24 Parganas,North 24 Parganas,protibadinagorik@rediffmail.com,,,NOT AVAILABLE,Rural development.
Prevention of Blindness Society,"Adda Industrial Plot, Kalyanpur, Asansol",Burdwan,apbs1993@gmail.com,NOT AVAILABLE,,03412-251122,"Cancer Patients Help, Employment, Herbal Medicine, Mentally Handicapped Persons, Plantation To Eredicate Blindness."
Pujali Nagarick Chetana,Kolkata,Kolkata,nagarikchetana@gmail.com,91-33-24820662,,NOT AVAILABLE,Rural development
Purba – Dwarakapur Sebayan Sangha,"Purba – Dwarakapur, Raidighi",24 Parganas South,chotohimu@rediffmail.com,91-11-26923062,,NOT AVAILABLE,Grass root development actives in Sundarban delta.
Pur Babarasat Prerana,"71/7, Ghola Kachhari Road, Sukanta Pally, Barasat",Kolkata,prerana_barasat@yahoo.com,91-33-25526939,91-94328 44555,NOT AVAILABLE,
Purulia Abul Kalam Azad Welfare Society,J.K.College Road,Purulia,pakawsprl@yahoo.co.in,NOT AVAILABLE,99326 01811,03252-225621,"Adolescent Girls Welfare, Advocacy On Social Issues, Anti Drug Campaign, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development."
PRERNA,"12, Kamala Kanta, Chakraborty Sarani",Uttarpara,prerana.writeus@gmail.com,,91-98303 01198,NOT AVAILABLE,To help needy and meritorious students for their future studies.
Prosadpur Swami Vivekananda Sevaniketan,"Prosadpur, Kustia, Kol-150, Head Quarter-Madhabpur, Sonarpur",24 Parganas South,psvs.ngo@gmail.com,NOT AVAILABLE,"83369 10429, 97324 09450",03218-201206,"Poverty Anti Corruption, Anti Women Trafficking. Prevention Of Alcoholism And Drugs Abuse And Medical Assistance."
Purulia Self Help Group Srijanalaya,"Municipality Complex, 1st Floor, 5, Jhalda",Jhalda,puruliashgsrijanalaya@gmail.com,NOT AVAILABLE,99322 16960,,"Social Equility, Development and Livelihood Improvement Of Poor Men and Women In Purulia District."
PUSHTI,"C/o Dr. Apurba Kumar Sen, Diptibag, 2, Sankaripukur",Burdwan,pushtingo@gmail.com,,91-94341 67746,NOT AVAILABLE,Social service
Radhanagar Dipsikha Swanirvar Gosthi,"Radhanagar Khal Para, Kamgachi, Taherpur",Nadia,radhanagardipsikha@rediffmail.com,NOT AVAILABLE,96792 33635,,"Adolescent Girls Welfare, Advocacy On Social Issues, Agriculture, Animal Health, Anti Drug Campaign, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development."
Radharani Community Health Service,"Kethardanga, Bankura",Bankura,rchs2001@yahoo.co.in,91-324-2329553,91-98322 99751,NOT AVAILABLE,"Education, health and environment"
Rabindra Nagar Natyaayudh,"3, West Rabindra Nagar, Dum Dum Cantonment",Kolkata,danikarmakar.natyaayudh@gmail.com,,91-98740 53622,NOT AVAILABLE,"Education, health, nrm, water, women empowerment, child development, rural development, disability."
Rahara Theatre Campaign,"Dakshin Pally, Rahara",North 24 Parganas,theatrecampaign_orgn@yahoo.co.in,91-33-65347863,,NOT AVAILABLE,Culture
Raidighi New Makali Seva Samiti,"Raidighi Daspara, Raidighi",South 24 Parganas,raidighi.nmkss2011@gmail.com,NOT AVAILABLE,"97327 89036, 89022 78471",,"Agriculture, Community Development, Development (General), E-Governance, Economics and Finance, Forest Management, Governance, Group Promotion, Information and Communications Technology, Micro-Enterprises, Ngo Management, Plantation."
Raiganj Debonair Social Welfare Society,Raiganj,Raiganj,raiganjdebonair@gmail.com,,91-94750 98949,NOT AVAILABLE,"Organising labour child school, consumer protection, socio legal aid."
Raiganj Green Peace Foundation Society,Uttar Dinajpur,Uttar Dinajpur,greenpeace.rnj2009@yahoo.in,,91-94341 40912,NOT AVAILABLE,Share idea about developing area.
Raghunathpur Spot Light Society,"Raghunathpur Opp. Text Print, Jhargram",West Midnapore,secretary@raghunathpursls.org,91-3221-256533,,NOT AVAILABLE,Funding for charitable work
Purbachal Ananda Foundation,"2/32, Purbachal, Durgapur",Durgapur,anandafoundation@gmail.com,NOT AVAILABLE,94340 85296,0343-2552230,"Adolescent Girls Welfare, Child Labour, Child Rights, Child Welfare, Community Development, Cultural Issues, Livelihood, Rehabilitation, Women Development/Welfare, Women’s Issues Orphanage."
Rahimpur Taraama Village Welfare Society,"Rahimpur, Jangipara",Hooghly,sovanap84@gmail.com,NOT AVAILABLE,9749406362,03212-259130,"Training, Health,Skill Devlopment,Agriculture."
Rajabazar Education & Awareness Development Society,"2B-H/50, Gas Street, Rajabazar",Kolkata,,91-33-28730203,,NOT AVAILABLE,"Aged, Art and culture, Child welfare, Consumer issues, Disability, Disadvantaged communities, Economics and Finance, Education, Environment, Food and Nutrition, Health, Human Rights, Local Administration, Minorities, Rural Development, Sanitation, Training, Urban Development, Women’s issues"
Raiganj Janachetana Social Organisation,"Birnagar, Raiganj",Uttar Dinajpur,rnjjso@gmail.com,,91-92324 69590,NOT AVAILABLE,Social work jointly with the govt.
Rajabazar Guidance Society for Education Consciousness,"15-A, PatwarBagan Lane",Kolkata,guidance.gcti@gmail.com,NOT AVAILABLE,"90388 10777, 85839 66609",033-26638125,"Corporate Social Responsibility, Education, General – Social Welfare, Human Development, Women Development/Welfare, Women’S Issues Social Change Is Constant, Continuous, Unavoidable And Inevitable."
Raiganj Unicare Society,"FCI More, Uttar Dinjpur",Uttar Dinjpur,rusociety@in.com,,91-94342 20127,NOT AVAILABLE,Various non govt organisational works related information to grow and do work for the country.
RAJARSHI – Research Academy for Juvenile & Retarded & Social Help Institute,"Rasapunja, South 24 Parganas",South 24 Parganas,ngorajarshi@yahoo.in,91-33-24980775,91-94332 36456,NOT AVAILABLE,Fund for educating poor/needy in various stream&keeping their good health by patanjali yoge.
Rajadighi Community Health Service Society,"Eklakhi, Rajadighi",Malda,,"91-3512-231112, 91-3512-266174",,NOT AVAILABLE,Health
Rajnagar Welfare Society,"Uchudiha, Dantan, Nekurseni",Paschim Medinipur,nandarws@yahoo.in,NOT AVAILABLE,94752 21673,,"Agriculture, Animal Welfare, Environment, Forest Management, Grants/Aids, Tribal Development, Women Development/Welfare We Want To Save Biodiversity."
Rakshabandhan for Education,"Gosainbazar, Chandrakona Town",West Medinipur,rakshabandhan.education@gmail.com,"91-94336 21872, 91-98314 52057",,NOT AVAILABLE,"Education, women empowerment, child development, health."
Rajiv Gandhi Development Centre,"Andal Shivajee Dangal, Andal",Burdwan,pradip8331@rediffmail.com,91-341-2374050,91-90028 66838,NOT AVAILABLE,
Ramakrishna Mission Lokasiksha Parishad,"Narendrapur, Kolkata",Kolkata,rklmpndp@cal.vsnl.net.in,"91-33-24772201, 91-33-24772070",,NOT AVAILABLE,"Agriculture, Child welfare, Disadvantaged communities, Disaster management, Education, Employment, Energy, Environment, Food and Nutrition, Forestry, Health, Micro-enterprises, Minorities, Poverty, Rural Development, Sanitation, Sustainable Development, Training, Tribal issues, Water, Women’s issues"
Rajbalhat Udayan Foundation,"Rajbalhat, Hooghly",Hooghly,udayanfoundation@yahoo.com,,,NOT AVAILABLE,Social work.
Raiganj Institute of Inspiration and Empowerment for Livelihood Generation,"Bandar, Raiganj",Uttar Dinajpur,director.iieg@gmail.com,NOT AVAILABLE,90079 80826,03523-214092,Social Work.
Ramesh Mondal,"Karim Danga, Mondal Para",Burnpur,mondalrames@rediffmail.com,91-341-2236538,91-97494 81272,NOT AVAILABLE,Rural developement.
Ramnagar Unnayan Sanstha,"Ramnagar, Purba",Medinipur,,,91-98301 12349,NOT AVAILABLE,Skill development of rural women.
Ramnagar Lane Forum of Revolution for Communities Education,"G-152 Ramnagar Lane, 2nd Floor, Dhankheti",Kolkata,rnlforce1991@yahoo.co.in,91-33-24893618,,NOT AVAILABLE,
Rampur Sports & Cultural Association,Howrah,Howrah,vetdocutpal@rediffmail.com,,91-92316 21002,NOT AVAILABLE,
Rampurhat People for Better Tomorrow,"Tomake College Para, Rampurhat",Birbhum,indranilray@hotmail.com,91-3461-256450,91-94343 49513,NOT AVAILABLE,"Education, health, rural development."
Ram Mohan Mission,"162/69, Lake Gardens",Kolkata,consultritesh@gmail.com,"91-33-24176968, 91-33-24173355",91-99770 01970,NOT AVAILABLE,"Health, education, women empowerment, child development, tribal development & HRD."
Rangeeni Educational Society,"19-F, Rental Housing, Estate",Malda,rangeeniedu@gmail.com,NOT AVAILABLE,91638 92897,,Social Work
Ramprosad Welfare Mission,"Netaji Subhas Sarani, Halisahar",North 24-Parganas,utpal2das@rediffmail.com,91-33-65157959,,NOT AVAILABLE,"Micro credit, health service, awareness camp."
Rangbang Himalayan Destitute Relief Foundation,"Chandbarjote, Kadamtala",Darjeeling,hdrf2050@gmail.com,NOT AVAILABLE,70633 85577,,"Awareness Generation, Child Welfare, Community Development, Education, Food And Nutrition, Health, Indigenous Knowledge, Medical Relief, Old Aged Welfare."
Ranaghat Rashtrabhasha Siksha Kendra,"39, Kamarpara Lane, Mahaprabhupara, Ranaghat",Nadia,rskranaghat@gmail.com,NOT AVAILABLE,92326 04354,,Education.
Raniganj Janaseva Society,"Birnagar, Near Shila Bhavan, Raiganj",Uttar Dinajpur,janasevasociet@yahoo.com,,91-94349 82821,NOT AVAILABLE,
Raniganj Amra Achi Yuba Samaj,"Kumar Bazar, Raniganj",Raniganj,amraachiys@gmail.com,NOT AVAILABLE,94750 24924,,"Child Labour, Child Rights, Child Welfare, Cultural Issues, Disability, Health."
Ramakrishna Saradeshwree Ashrama,"Kandara, Burdwan",Burdwan,rksashrama@gmail.com,,91-94348 51947,NOT AVAILABLE,Charitable
Rasakhowa United Welfare Society,"Rasakhowa, Karandighi",Uttar Dinajpur,rusw2005@gmail.com,91-3525-253158,91-94348 91910,NOT AVAILABLE,Sociel work
Raychak Rise Education Society,"Roychak, Sajinagachi, Kolaghat",Purba Medinipur,risecti@gmail.com,NOT AVAILABLE,89671 18063,03228-245012,"Art And Culture, Corporate Social Responsibility, Cultural Issues, Education, Environment, Population, Training."
North Dinajpur Asha Welfare Society,"Ashokpally, Raiganj",Uttar Dinajpur,ranjitg7@gmail.com,NOT AVAILABLE,98323 93553,,"Disaster Management, Education, General – Social Welfare, Health, Youth."
RCDAAMP,"30-B, Bidhan Pally",Kolkata,daskamit2@rediffmail.com,91-33-24835822,,NOT AVAILABLE,
Rashtriya Jan Vikas Yojna,"Near Police Line, Burdwan",Bardhman,info.rjvy@gmail.com,NOT AVAILABLE,92121 90700,,"Child Welfare, E-Governance, Employment, Energy, Governance, Legal Awareness, Natural Resource Management, Poverty, Public Administration, Society And Economy, Training."
Rayan Pratyasha Welfare Society,Burdwan,Burdwan,sukhendukoner@gmail.com,,91-92324-36471,NOT AVAILABLE,
READS – Rajabazar Education & Awareness Development Society,"21-H-50, Gas Street, Rajabazar",Kolkata,"readssociety@gmail.com, reads16@yahoo.com",,"91-98312 74907, 91-98740 52663",NOT AVAILABLE,
Rashwaa Welfare India,"146, Dr. Meghnath Saha Road, Dumdum",Kolkata,rashwaa@rediffmail.com,91-33-25499982,91-98310 62129,NOT AVAILABLE,Education for street children.
Relation Welfare Society,"104, B.T. Road, Bonhooghly Tenament Scheme, School Building",Kolkata,relationwelfaesociety@yahoo.com,,91-94331 26731,NOT AVAILABLE,"Rehabilitation for handicapped, child education, human rights, hiv/aids awareness, old age education."
Research and Advocacy Centre for Environment,"F-2, Aryasa, 121/18/2, Purbachal Kalitala Road",Kolkata,race4earth@gmail.com,NOT AVAILABLE,70443 04271,,"Agriculture, Climate Change, Community Development, Development (General), Disaster Management, Environment, Gender, Indigenous Knowledge, Livelihood, Micro-Enterprises, Natural Resource Management, Plantation, Poverty, Rehabilitation."
Reach India,"20-D, Belvedere Road",Kolkata,info@reach-india.net,91-33-24792452,,NOT AVAILABLE,Strengthen the self-help group movement.
Raza Talimi Sewa Mission Trust,"Mela Math Choudhry Nagar, Islampur",Dinajpur,razatalimitrust@gmail.com,NOT AVAILABLE,"96792 41741, 90026 70337",,"Adolescent Girls Welfare, Community Development, Human Development, Human Rights, Minorities, Women Development/Welfare, Women’S Issues Purpose Is The Development Of Education Among Girls."
Research & Human Development Centre,"Noongola para, Ward 14",Diamond Harbour,anamrhdc@yahoo.co.in,,,NOT AVAILABLE,"Education, health, human rights, agriculture, environment. Advocacy & campaign."
Revolution- An Essence for Freedom,"13, Vivekananda Road, Santoshpur",Kolkata,surajitdasmunshi@yahoo.com,91-33-24184054,,NOT AVAILABLE,Child rights and human rights.
Resources Developmnent Foundation,"B-7/1, Sector I, Salt Lake",Kolkata,resources_DF@yahoo.co.in,91-33-23377956,,NOT AVAILABLE,
Right Track,"15/9 Braunfeld Row, Mominpore",Kolkata,righttrack@rediffmail.com,91-33-24494072,,NOT AVAILABLE,"Child welfare, Disability, Education, Environment, Human Rights, Micro-enterprises, Minorities, Population, Training, Women’s issues"
RIVER – Revolutionary Ideology of Voluntary Enterprenuers and Realistics,"221/5/A, B.T.Road, 2nd Floor",Kolkata,riverKolkata@yahoo.co.in,"91-33-25789658, 91-33-25776688,91-33-21154104",91-99333 02967,NOT AVAILABLE,"Education, health, women empowerment, child development, rural development, disability, old age care."
Resource Implementation Development & Allotropic Youjana Society,"AISECT Computer, Purulia",Purulia,bulletmahato@gmail.com,91-3252-223894,,NOT AVAILABLE,Social works
RCC of Sardanga Boys,"Sardanga, Chanchai",Burdwan,bappa.007@indiatimes.com,,91-94348 39580,NOT AVAILABLE,To serve under privilege people and improve the quality of life of the villagers.
Rupantaree Welfare Society,"Nonaghona, Taki",North 24 Parganas,Rafikulislambyctc@Gmail.Com,NOT AVAILABLE,97327 57538,,NOT AVAILABLE
Rupamari Rural Development Society,"Rupamari, Block-Hingalganj",North 24 Parganas,rrds.org2003@gmail.com,NOT AVAILABLE,85150 40188,,"Advocacy On Social Issues, Community Development, Environment, Health, Sanitation, Self Help Groups, Training, Tribal Development, Women Development/Welfare."
Rudragni Creative & Classical Dance Academy,"487, Rabindro Sarani",Kolkata,jeat.subha@gmail.com,NOT AVAILABLE,98360 66933,,"Adolescent Girls Welfare, Anti Drug Campaign, Art And Craft, Art And Culture, Child Labour, Child Rights, Child Welfare, Cultural Heritage., Cultural Issues, Development (General)."
Rural Aid,"36-B-2, A.T.Chatterjee Road",Kolkata,ruralaid03@rediffmail.com,91-33-24236085,,NOT AVAILABLE,Rural development.
Rupasi Bangla Welfare Society,"Hospital More, Bhadura, Ramnagar",South 24 Paraganas,rbws2001@yahoo.com,,91-97339 70085,NOT AVAILABLE,
Right Path,"N S Road, Islampur Bazar",Uttar Dinajpur,Acpranab@yahoo.co.in,91-3526-255474,,NOT AVAILABLE,Social work.
Rural Development Society,"Central Church Compound, Bankura",Bankura,rudeso@rediffmail.com,91-324-2250001,,NOT AVAILABLE,Empowerment of women and children.
Rural Health Care Foundation,"8B, Lindsay Street, Kolkata",Kolkata,rhcf2009@gmail.com,91-33-30258350,91-98300 88218,NOT AVAILABLE,Health
RELATION,"104, B.T. Road, Bon Hooghly",Kolkata,pijushroykol@yahoo.co,,91-94331 26731,NOT AVAILABLE,
Rural Health Development Centre,"Jamuna, Baragam, Dakshandinajpur",Balurghat,onda_rhdemda@sanchnet.in,91-3523-271159,,NOT AVAILABLE,"Aged, Agriculture, Child welfare, Disaster management, Education, Forestry, Health, Rural Development, Sanitation, Training, Water, Women’s issues"
Russa Road Young Buddhist Student Literacy Mission,"Badu, Barasat",North 24 Parganas,ndbatha@gmail.com,91-33-25263417,,NOT AVAILABLE,To work for poorer section of the society.
Rukni Sahay Society,"Rukni, Purulia",Rukni,ruknisahayngo@gmail.com,NOT AVAILABLE,99325 42228,,"Management, Water We Are Eager To Work Poor and Needy People."
S.B.Devi Charity Home,"Caucutta Project, Basel, Switzerland",Kolkata,sbdch@hotmail.com,91-33-25301144,91-98301 05887,NOT AVAILABLE,To serve the destitute people.
Rural Environmental Development and Implementation Foundation,"Orahar, Sundarpur, Bhagwangola",Murshidabad,rediffoundation@gmail.com,NOT AVAILABLE,99324 67878,03483-240252,"Food And Nutrition, Forest Management, Human Development, Livelihood, Local Administration."
Sabera Foundation,"Dey’S Estate, Gazipur Post Office",Kanganberia,sabera@vsnl.net,91-33-24957186,,NOT AVAILABLE,Required physically handicapped childrens.
Rural Development Society,Darjeeling,Darjeeling,singh_bikee@yahoo.co.in,91-353-2488957,,NOT AVAILABLE,Development.
S.M. Educational Society,"Kaikhali Enclave, D-202, Mondalganthi, Airport",Kolkata,smes_org2003@yahoo.co.in,,91-96811 28371,NOT AVAILABLE,Social welfare activities for poor peoples of the society.
Sabuj Sangha,"Nandakumarpur, Nandakumarpur",South 24 Parganas,"sabuj@vsnl.net, sabujsanghankp@gmail.com","91-3174-270310, 91-33-24414357",,NOT AVAILABLE,Communication.
Sadbhavna Trust,"Devi Kirti, FL/2 Jyangra Bat-Tala, Indira Sarani, Baguiati",Kolkata,Sadbhavna_ngo@yahoo.com,91-33-25702570,91-93300 71444,NOT AVAILABLE,"Women empowerment, child development."
Sabitri Smriti Granthagar & Welfare Society,"Sandalpur, Sitalpur",Purba Medinipur,arkapravamisra@rocketmail.com,,91-99336 89207,NOT AVAILABLE,Found a new way of village society.
Sabuj Sangha,"Keshabpur, Arambuj",Arambuj,sabujsangha.keshabpur@gmail.com,,91-94343 62154,NOT AVAILABLE,Disability development.
Sadlichak Samaj Kalyan Samity,"New Sadlichak, Harishchandrapur",Kumedpur,ssksngo15@gmail.com,NOT AVAILABLE,99320 10738,03513-258341,"Agriculture, Animal Health, Anti Drug Campaign, Child Welfare, Education, Health, Herbal Medicine, Human Development, Rural Development, Urban Development, Volunteers Health Treatment."
Rural Islamic Development Foundation,"Lichutala, Krishnapur, Lalgola",Murshidabad,ridfoundation.nic@gmail.com,NOT AVAILABLE,97327 80778,,"Child Welfare, Education, Health."
SACHETNA,"31, Mahairban Road, Kolkata",Kolkata,chetana@cal2.vsnl.net.in,91-33-24634485,,NOT AVAILABLE,"Information and Communications Technology, Women’s issues"
Sagar Youth Cultural Association,"Sagar Block, Krishnanagar",Krishnanagar,sycaatanu@rediffmail.com,91-3210-242608,,NOT AVAILABLE,Rural development.
SAHAY,"734 Block-P, New Alipore",Kolkata,sahayci@cal.vsnl.net.in,"91-33-24005767, 91-33-24007575",,NOT AVAILABLE,Child welfare
Sahay Welfare Society for Spastics,"Flat-1 Shanti Niketan, 69, Upen Banerjee Road",Kolkata,abandyo@hotmail.com,"91-33-24511145, 91-33-22497652",,NOT AVAILABLE,Disability
Sainthia Vivekananda Sarani Idea Computer Academy,"Near Rail Station, Word-5, Sainthia",Sainthia,ideaskill08@gmail.com,NOT AVAILABLE,97320 48370,03462-262125,"Child Labour, Community Development, Disability, Disaster Management, E-Governance, E-Learning, Education, Employment, Environment, General – Social Welfare, Health, Hiv/Aids, Human Rights, Minorities, Training, Tribal Development, Youth."
Sagar Youth Cultural Association,"Sagar, Krishnanagar",West Bengal,sycaatanu@rediffmail.com,91-3210-242608,,NOT AVAILABLE,To serve for poorer section of the society.
SAKET,"77/1, Topsia Road (South)",Kolkata,saket.edu@gmail.com,91-33-32450839,,NOT AVAILABLE,Education
Saluka Sishu Siksha Niketan,"Pattelnagar, Md Bazar",Birbhum,sishumodelschool@gmail.com,NOT AVAILABLE,92336 96111,03462-260437,"Child Labour, Child Rights, Child Welfare, Education, Food and Nutrition, Health, Rural Development, Tribal Issues, Urban Development Nursery School For Poor Child In Urban Area and Sports and Culture Programe."
Salar Social Welfare Society,Salar,Berhampore,salarsocialwelfaresociety@gmail.com,NOT AVAILABLE,"94348 80077, 89000 31172",03484-273925,"Disability, Education, General – Social Welfare, Health, Rehabilitation."
SAMADARSHI,"52, Serpentine Lane",Kolkata,samadarshi1@indiatimes.com,91-33-23212276,91-98316 76366,NOT AVAILABLE,"Education, rural development, medicinal plants, drug abuse rehab."
Samaj Kalyan Brata Sangha,"Raghudevpur, Howrah",Howrah,skbs_chengail@yahoo.co.in,,91-94333 90085,NOT AVAILABLE,
Sailok Seva Trust,"C/o A. Shashipadme, Amardeep 5 C, 1 S.B.Road",Kolkata,sailoksevatrust@yahoo.com,,91-98317 16032,NOT AVAILABLE,Charity
SAHAMARMI,"Block-D, Flat-12, 98 Karaya Road",Kolkata,,91-33-22403994,,NOT AVAILABLE,"Disability, Health, Training, Women’s issues"
Sabuj Sangha,"30-Sep, Rajdanga Main Road East",Kolkata,Sabujsanghankp@gmail.com,91-33-24414357,,NOT AVAILABLE,
SAMBHAB,"Rupnarayanpur, Burdwan",Burdwan,das.prince67@gmail.com,91-97342 50941,,NOT AVAILABLE,"Developing education in poor child, medical treatment in poor people."
Salasar Sewa Ashram,"Kamargach, Siliguri",Siliguri,salasarsewaashram@yahoo.co.in,91-353-2563958,,NOT AVAILABLE,Social welfare.
SAMIKSHANI,"37, Southend Park, Kolkata",Kolkata,,91-33-24663504,,NOT AVAILABLE,Health
Samvriddhi Trust,"EC 263, Sector 1, Salt Lake City",Kolkata,info@samvriddhi.com,91-33-23594150,91-98300 11553,NOT AVAILABLE,Financial inclusion
SAMVRIDDHI,"EC-279, 1st Floor, Sector-1, Salt Lake City",Kolkata,info@samvriddhi.com,91-33-23595786,,NOT AVAILABLE,Promoting financial inclusion in the backward states.
Samaritan Help Mission,"Munshi Lane, Kolkata",Kolkata,shm.mamoon@gmail.com,91-33-28494068,,NOT AVAILABLE,Education of the deprived children of the slum of Tikiapara Howrah.
Samanti Swamiji Sangha,Samanti,Burdwan,samanti.swamiji.sangha@gmail.com,NOT AVAILABLE,90931 46523,,Social Work
Samarpan Basu Memorial Trust,"101, Lake Terrace",Kolkata,info@samarpann.com,,91-93305 45676,NOT AVAILABLE,Philanthropic work for the children.
Sanatan Yoga Kendra,"C-13, Tagore Park, Naskar Hat",Kolkata,sanatanyogakendra@yahoo.co.in,91-33-23450372,,NOT AVAILABLE,Sanatan art of living.
Sampark Communication,"5-B, Nabakailash, 55/4, Ballygunj Circular Road",Kolkata,ghoshdip@cal.vsnl.net.in,91-33-24768936,,NOT AVAILABLE,Improvement of communication among the NGOs and effective training.
SANHITA,"89 B, Raja Basanta Roy Road, Kolkata",Kolkata,sanhita@cal.vsnl.net.in,"91-33-22161471, 91-33-22845525",,NOT AVAILABLE,"Human Rights, Training, Women’s issues"
Sanchar Arod,"A2/6 Diamond Park, Joka",Kolkata,sanchar@vsnl.com,91-33-70022098,,NOT AVAILABLE,Disability
Santi TB Control Society,"Vil Pailan, South 24 Parganas",24 Parganas,santitb@vsnl.in,,,NOT AVAILABLE,Health
SANLAAP,"38-B, Mahanirban Road",Kolkata,sannlaap@rediffmail.com,91-33-24649596,,NOT AVAILABLE,Combatting trafficking & second generation prostitution.
SARANI – Society for Action on Rehabilitation Awareness Networking and Information,"156/1, B.T. Road",Kolkata,sarani_nari@hotmail.com,91-33-25788122,,NOT AVAILABLE,
Sandeshkhali Maa Saroda Women and Rural Welfare Society,"Chhotojirakepur, Basirhat",North 24 Parganas,masaroda2009@gmail.com,NOT AVAILABLE,97325 49110,,Social Work
SARC – Survey Advisory Research Consultancy,"EE-202/10, Sec-2 Salt Lake",Kolkata,info@sarcindia.org,91-98741 93645,,NOT AVAILABLE,"Survey, research referral, advisory role, data compilation, analysis etc."
SAP Welfare & Finance Banking,Burdwan,Burdwan,sarathilaha@rediffmail.com,91-342-3207403,91-94758 71233,NOT AVAILABLE,
Sanjib Roy Memorial Trust,"16 A, Bosepara Road",Kolkata,bibekroy@gmail.com,91-33-24989009,,NOT AVAILABLE,Expansion of the abovesaid NGO.
Saroj Nalini Dutt Memorial Association,"23-Jan, Ballygunge Station Road",Kolkata,,"91-33-24406852, 91-33-24408656",,NOT AVAILABLE,"Aged, Child welfare, Disability, Disadvantaged communities, Education, Employment, Environment, Food and Nutrition, Grants/Aids, Health, Human Rights, Information and Communications Technology, Law, Population, Poverty, Rural Development, Sanitation, Science and Technology, Sustainable Development, Training, Water, Women’s issues"
Sarkar & D. Mohammad Educational Trust,"Dhaneswarpur, Khakurda, Belda",West Medinipur,primeglobal@sify.com,91-33-40048485,91-93338 80373,NOT AVAILABLE,"Education, health, rural developement, old age home."
Sasha Association for Craft Producers,"1/C, Chatu Babu Lane",Kolkata,sasha@giascl01.vsnl.net.in,"91-33-22449761, 91-33-22449776",,NOT AVAILABLE,"Employment, Micro-enterprises, Poverty"
Sarenga Block Cultural Association,Sareng,Bankura,ngo_Sarenga@rediffmail.com,91-3243-269343,91-94344 80061,NOT AVAILABLE,"Education, health, women empowerment, child development, rural development, art & culture, disability."
Sathihath Batana,"1, Natun Diyara, Nayabad, Near Banspool",Kolkata,sathihathbatana@gmail.com,,91-98302 13946,NOT AVAILABLE,Help distribution.
Sarenga Baba Loknath Sc St & Minority Seva Samity,Sarenga,Bakura,sarengababaloknathscstminority@gmail.com,NOT AVAILABLE,94343 58945,,Social Work
Satya Bharati,"28, Vidyasagar Road",Hooghly,satyabharatingo@yahoo.com,,,NOT AVAILABLE,
Satmile Satish Club O Pathagar,"Chhatel Ajane, Lajanaer Kuthi",Cooch Behar,"sscop_satmile@yahoo.com, amalscop1974@gmail.com",,91-98002 16290,NOT AVAILABLE,"Health, education, income generation, environment programme."
Satyanarayan Sevak Sangha,"Polanda, Gobindapur",Polanda,satyanarayansevak@gmail.com,NOT AVAILABLE,99327 64527,,"Child Welfare, General – Social Welfare, Social Awareness, Volunteers Creche."
Saphalya Develeopment Society,"Mollabelia, Haringhata",Nadia,saphalya2009@gmail.com,NOT AVAILABLE,97343 82613,,"Employment, Health, Legal Awareness, Livelihood, Micro-Enterprises, Minorities, Old Aged Welfare, Rural Development, Self Help Groups, Women Development/Welfare, Women’S Issues."
